LONG_NAME,LIFESTYLE_CAT,ADDR,ICON,ICON_STR,COLOR,PYCOLOR,lat,long,APT_CLUST
Sephora,Beauty,"470 Hidden Valley Pkwy, Corona, CA 92879",spray-can-sparkles,spray,#000000,black,33.89768207163817,-117.5527088,99
Sephora,Beauty,"12315 Limonite Ave, Eastvale, CA 91752",spray-can-sparkles,spray,#000000,black,33.97836205,-117.5507487,99
Ulta,Beauty,"3625 Riverside Plaza Dr, Riverside, CA 92506",spray-can-sparkles,spray,#F47D39,orange,33.955083,-117.3918882,99
Ulta,Beauty,"1512 S Riverside Ave, Rialto, CA 92376",spray-can-sparkles,spray,#F47D39,orange,34.073737553075375,-117.3704167,99
Ulta,Beauty,"1688 N Perris Blvd, Perris, CA 92571",spray-can-sparkles,spray,#F47D39,orange,33.8022378,-117.2305836,99
Ulta,Beauty,"18418 Collier Ave, Lake Elsinore, CA 92530",spray-can-sparkles,spray,#F47D39,orange,33.6899308,-117.337938,99
Ulta,Beauty,"30050 Haun Rd, Menifee, CA 92584",spray-can-sparkles,spray,#F47D39,orange,33.68412710204082,-117.175456,99
Cannabis Store,Cannabis,"10187 Magnolia Ave, Riverside, CA 92503",cannabis,cannabis,#A1CF5F,lightgreen,33.91315796025459,-117.4593866,99
Cannabis Store,Cannabis,"1270 Center St, Riverside, CA 92507",cannabis,cannabis,#A1CF5F,lightgreen,34.015422,-117.3392939,99
Cannabis Store,Cannabis,"14070 Perris Blvd, Moreno Valley, CA 92553",cannabis,cannabis,#A1CF5F,lightgreen,33.916229251205884,-117.2262223,99
Cannabis Store,Cannabis,"21820 Alessandro Blvd, Moreno Valley, CA 92553",cannabis,cannabis,#A1CF5F,lightgreen,33.91674126677051,-117.2831435,99
Cannabis Store,Cannabis,"3311 Market St, Riverside, CA 92501",cannabis,cannabis,#A1CF5F,lightgreen,33.98733835,-117.3728011,99
Cannabis Store,Cannabis,"9806 Mission Blvd, Riverside, CA 92509",cannabis,cannabis,#A1CF5F,lightgreen,34.01143359683627,-117.4986195,99
Walmart,Grocery,"6250 Valley Springs Pkwy, Riverside, CA 92507",cart-shopping,cart,#1A75CF,blue,33.94021806178332,-117.2881742,99
Walmart,Grocery,"1120 S Mt Vernon Ave, Colton, CA 92324",cart-shopping,cart,#1A75CF,blue,34.0570808,-117.3093166,99
Walmart,Grocery,"1366 S Riverside Ave, Rialto, CA 92376",cart-shopping,cart,#1A75CF,blue,34.0763996,-117.37327,99
Walmart,Grocery,"5200 Van Buren Boulevard, Riverside, CA 92503",cart-shopping,cart,#1A75CF,blue,33.9367789,-117.454972,99
Walmart,Grocery,"12721 Moreno Beach Dr, Moreno Valley, CA 92555",cart-shopping,cart,#1A75CF,blue,33.9357718,-117.1819294,99
Walmart,Grocery,"2050 W Redlands Blvd, Redlands, CA 92373",cart-shopping,cart,#1A75CF,blue,34.0650396,-117.222756,99
Walmart,Grocery,"17251 Foothill Blvd, Fontana, CA 92335",cart-shopping,cart,#1A75CF,blue,34.1057132,-117.4281524,99
Walmart,Grocery,"479 N McKinley St, Corona, CA 92879",cart-shopping,cart,#1A75CF,blue,33.8910578,-117.5178999,99
Walmart,Grocery,"4210 Highland Ave, Highland, CA 92346",cart-shopping,cart,#1A75CF,blue,34.13762725,-117.1948893,99
Walmart,Grocery,"1800 N Perris Blvd, Perris, CA 92571",cart-shopping,cart,#1A75CF,blue,33.80617145,-117.2295415,99
Walmart,Grocery,"1001 Columbia Ave, Riverside, CA 92507",cart-shopping,cart,#1A75CF,blue,34.002952500000006,-117.3326293,99
Walmart,Grocery,"8844 Limonite Ave, Jurupa Valley, CA 92509",cart-shopping,cart,#1A75CF,blue,33.974342300000004,-117.4767376,99
Walmart,Grocery,"4001 Hallmark Pkwy, San Bernardino, CA 92407",cart-shopping,cart,#1A75CF,blue,34.1653946,-117.3361701,99
Walmart,Grocery,"1290 E Ontario Ave, Corona, CA 92881",cart-shopping,cart,#1A75CF,blue,33.8459858,-117.5413058,99
Walmart,Grocery,"12549 Foothill Blvd, Rancho Cucamonga, CA 91739",cart-shopping,cart,#1A75CF,blue,34.10341815,-117.5315637,99
Ralphs,Grocery,"5225 Canyon Crest Dr, Riverside, CA 92507",basket-shopping,basket,#BE0D2C,darkred,33.9571723,-117.3304264,99
Ralphs,Grocery,"6155 Magnolia Ave, Riverside, CA 92506",basket-shopping,basket,#BE0D2C,darkred,33.9592269,-117.3943342,99
Ralphs,Grocery,"3350 La Sierra Ave, Riverside, CA 92503",basket-shopping,basket,#BE0D2C,darkred,33.8954112,-117.4715996,99
Ralphs,Grocery,"16225 Sierra Lakes Pkwy, Fontana, CA 92336",basket-shopping,basket,#BE0D2C,darkred,34.1376277,-117.4507942,99
Ralphs,Grocery,"12660 Limonite Ave, Eastvale, CA 92880",basket-shopping,basket,#BE0D2C,darkred,33.97489985,-117.5589491,99
Ralphs,Grocery,"4444 University Pkwy, San Bernardino, CA 92407",basket-shopping,basket,#BE0D2C,darkred,34.169685799999996,-117.334344,99
Ralphs,Grocery,"12201 Highland Ave, Rancho Cucamonga, CA 91739",basket-shopping,basket,#BE0D2C,darkred,34.13490645,-117.539365,99
Ralphs,Grocery,"7369 Milliken Ave, Rancho Cucamonga, CA 91730",basket-shopping,basket,#BE0D2C,darkred,34.1199443,-117.5571712,99
Ralphs,Grocery,"7243 Haven Ave, Rancho Cucamonga, CA 91701",basket-shopping,basket,#BE0D2C,darkred,34.1236472,-117.575439,99
Ralphs,Grocery,"2661 Green River Rd, Corona, CA 92882",basket-shopping,basket,#BE0D2C,darkred,33.87157635,-117.6218344,99
Grocery Store,Grocery,"27100 Eucalyptus Ave, Moreno Valley, CA 92555",basket-shopping,basket,#52DA1C,lightblue,33.9380447,-117.1896532,99
Grocery Store,Grocery,"2744 Canyon Springs Pkwy, Riverside, CA 92507",basket-shopping,basket,#52DA1C,lightblue,33.94046957206333,-117.2813635,99
Grocery Store,Grocery,"2975 Van Buren Boulevard, Riverside, CA 92503",basket-shopping,basket,#52DA1C,lightblue,33.9098993,-117.436339,99
Grocery Store,Grocery,"3310 Vine St, Riverside, CA 92507",basket-shopping,basket,#52DA1C,lightblue,33.98390434131208,-117.3654648,99
Grocery Store,Grocery,"3550 Madison St, Riverside, CA 92504",basket-shopping,basket,#52DA1C,lightblue,33.936965402566486,-117.4059104,99
Costco,Grocery,"12700 Day St, Moreno Valley, CA 92553",cart-plus,cartplus,#FF1035,red,33.9360407,-117.2757429,99
Costco,Grocery,"1099 E Hospitality Ln, San Bernardino, CA 92408",cart-plus,cartplus,#FF1035,red,34.069058,-117.266828,99
Costco,Grocery,"16505 Sierra Lakes Pkwy, Fontana, CA 92336",cart-plus,cartplus,#FF1035,red,34.1373663,-117.443376,99
Costco,Grocery,"480 N McKinley St, Corona, CA 92879",cart-plus,cartplus,#FF1035,red,33.889568161060474,-117.5205974,99
Studio Movie Grill,Historical,"40 Powers Ferry Rd, Marietta, GA 30067",film,film,#000000,black,33.949051100000005,-84.51460164,99
Kennesaw State University,Historical,"1100 South Marietta Pkwy SE, Marietta, GA 30060",graduation-cap,grad,#ffc629,black,33.9404888,-84.5202865,99
Hotel Indigo - DTLA,Historical,"899 Francisco St, Los Angeles, CA 90017",bed,bed,#221C5C,darkpurple,34.04732935,-118.264523,99
Holiday Inn Express - Union Square,Historical,"235 O'Farrell St, San Francisco, CA 94102",bed,bed,#5.09E+36,darkpurple,37.7861752,-122.4086673,99
The Bristol Hotel - San Diego,Historical,"1055 First Ave., San Diego, CA 92101",bed,bed,#EB296A,darkpurple,32.7113383,-117.1637798,99
Candlewood Suites - San Diego,Historical,"1335 Hotel Cir S, San Diego, CA 92108",bed,bed,#A12342,darkpurple,32.758922537908965,-117.1761108,99
Mariott Riverside at the Convention Center,Historical,"3400 Market St, Riverside, CA 92501",bed,bed,#C6003D,darkpurple,33.986292,-117.373069,99
A Home for Darker Days,Historical,"1450 Kennesaw Trace Ct, Kennesaw, GA 30144",house-fire,housefire,#46444E,gray,34.041633306542224,-84.6012557,99
Fernbank Museum,Historical,"156 Heaton Park Dr, Atlanta, GA 30307",building-columns,building,#93D500,green,33.77874945,-84.318088,99
Georgia Aquarium,Historical,"225 Baker St NW, Atlanta, GA 30313",fish-fins,fish,#1D2BED,lightblue,33.76326745,-84.39511727,99
CalTech,Historical,"1200 E California Blvd, Pasadena, CA 91125",graduation-cap,grad,#FF6C0C,orange,34.135903,-118.1242746,99
IHG - InterContinental Hotels Group,Historical,"3 Ravinia Drive, Atlanta, GA 30346",hotel,hotel,#D96932,orange,33.9207353,-84.33492949,99
Hawthorne at Kennesaw,Historical,"4045 George Busbee Pkwy NW, Kennesaw, GA 30144",house-circle-xmark,housex,#007DA5,pink,34.04957671212121,-84.58426231,99
MAA Shiloh,Historical,"1750 Shiloh Rd NW, Kennesaw, GA 30144",house-circle-xmark,housex,#F18C20,pink,34.050982,-84.5948618,99
Silver Creek Apartments,Historical,"1776 Summit Forest Dr, Marietta, GA 30068",house-circle-xmark,housex,#4E4845,pink,33.955598,-84.499664,99
My Sisters Room,Historical,"1104 Crescent Ave NE, Atlanta, GA 30309",martini-glass-citrus,martini,#FF037D,purple,33.78483865,-84.38459952,99
Perimeter Mall,Historical,"4400 Ashford Dunwoody Rd, Atlanta, GA 30346",bag-shopping,bag,#E0252D,purple,33.9235375,-84.3401973,99
Six Flags Over Georgia,Historical,"275 Riverside Pkwy, Austell, GA 30168",cable-car,cablecar,#0AA1DB,purple,33.7670764,-84.55107182,99
Town Center Mall,Historical,"400 Ernest W Barrett Pkwy NW, Kennesaw, GA 30144",bag-shopping,bag,#E0252D,purple,33.9930013,-84.5971416,99
SD Zoo,Social,"2920 Zoo Drive, San Diego, CA 92101",hippo,hippo,#93D500,green,32.73598735,-117.1506542,99
Los Angeles Zoo and Botanical Gardens,Social,"5333 Zoo Dr, Los Angeles, CA 90027",hippo,hippo,#93D500,green,34.14735967584098,-118.2844025,99
San Francisco Zoo,Social,"Sloat Blvd &, Upper Great Hwy, San Francisco, CA 94132",hippo,hippo,#93D500,green,37.7354329,-122.507235,99
Aquarium of the Pacific,Social,"100 Aquarium Way, Long Beach, CA 90802",fish-fins,fish,#1D2BED,lightblue,33.76320387640536,-118.1966743,99
Riverside Art Museum,Social,"3425 Mission Inn Avenue, Riverside, CA 92501",palette,palette,#EC42AF,pink,33.981586624946075,-117.370616,99
GLBT Historical Society Museum,Social,"4127 18th St, San Francisco, CA 94114",building-columns,building,#EC42AF,pink,37.7607664,-122.435607,99
Disneyland,Social,"1150 Magic Way, Anaheim, CA 92802",wand-magic-sparkles,wand,#253B56,purple,33.8082809,-117.9265806,99
Abbey,Social,"692 N Robertson Blvd, West Hollywood, CA 90069",martini-glass-citrus,martini,#BF7A8F,purple,34.0833871,-118.385144,99
Blondie's Bar,Social,"540 Valencia St, San Francisco, CA 94110",martini-glass-citrus,martini,#FE392C,purple,37.764214949999996,-122.4221044,99
Six Flags Magic Mountain,Social,"26101 Magic Mountain Pkwy, Valencia, CA 91355",cable-car,cablecar,#0AA1DB,purple,34.4250568,-118.5970454,99
The Ruby Fruit,Social,"3510 Sunset Blvd, Los Angeles, CA 90026",martini-glass-citrus,martini,#BF7A8F,purple,34.08883255102041,-118.2765586,99
Knott's Berry Farm,Social,"8039 Beach Blvd, Buena Park, CA 90620",cable-car,cablecar,#753A7C,purple,33.8446407,-118.0000058,99
Six Flags Discovery Kingdom,Social,"1001 Fairgrounds Dr, Vallejo, CA 94589",cable-car,cablecar,#0AA1DB,purple,38.1395033,-122.2324377,99
AMC,Social,"3775 Tyler St, Riverside, CA 92503",film,film,#CE0E2D,red,33.911523096998444,-117.4609376,99
